변환,전년동기대비증감률
"2010/01","50.4"
"2010/02","32.2"
"2010/03","22.0"
"2010/04","14.4"
"2010/05","8.4"
"2010/06","9.0"
"2010/07","0.7"
"2010/08","-0.4"
"2010/09","0.7"
"2010/10","2.3"
"2010/11","5.5"
"2010/12","-2.3"
"2011/01","2.0"
"2011/02","-2.7"
"2011/03","-11.1"
"2011/04","-4.5"
"2011/05","-3.9"
"2011/06","-8.6"
"2011/07","-3.3"
"2011/08","-19.2"
"2011/09","-19.9"
"2011/10","-10.2"
"2011/11","-13.7"
"2011/12","-13.9"
"2012/01","-11.6"
"2012/02","-4.7"
"2012/03","8.6"
"2012/04","-4.5"
"2012/05","-9.6"
"2012/06","-6.7"
"2012/07","-14.6"
"2012/08","4.9"
"2012/09","7.5"
"2012/10","-5.7"
"2012/11","1.0"
"2012/12","1.4"
"2013/01","-3.3"
"2013/02","-4.6"
"2013/03","-8.8"
"2013/04","-10.7"
"2013/05","4.1"
"2013/06","-4.9"
"2013/07","4.8"
"2013/08","3.1"
"2013/09","9.4"
"2013/10","2.7"
"2013/11","4.0"
"2013/12","-1.9"
"2014/01","-5.9"
"2014/02","4.8"
"2014/03","8.4"
"2014/04","13.8"
"2014/05","5.3"
"2014/06","14.1"
"2014/07","9.8"
"2014/08","18.4"
"2014/09","-1.7"
"2014/10","1.8"
"2014/11","4.3"
"2014/12","3.8"
"2015/01","12.1"
"2015/02","9.3"
"2015/03","8.5"
"2015/04","10.4"
"2015/05","6.4"
"2015/06","-1.1"
"2015/07","-1.5"
"2015/08","-12.4"
"2015/09","-1.5"
"2015/10","14.1"
"2015/11","1.0"
"2015/12","1.3"
"2016/01","-8.1"
"2016/02","-11.3"
"2016/03","-8.2"
"2016/04","-13.0"
"2016/05","-11.7"
"2016/06","-9.6"
"2016/07","2.1"
"2016/08","3.1"
"2016/09","-10.7"
"2016/10","-17.2"
"2016/11","-14.3"
"2016/12","-7.2"
"2017/01","2.4"
"2017/02","3.8"
"2017/03","-3.0"
"2017/04","13.6"
"2017/05","20.1"
"2017/06","22.5"
"2017/07","6.3"
"2017/08","-2.6"
"2017/09","12.5"
"2017/10","20.9"
"2017/11","28.9"
"2017/12","16.4"
"2018/01","15.0"
"2018/02","7.3"
"2018/03","2.8"
"2018/04","-8.1"
"2018/05","-8.9"
"2018/06","-8.9"
"2018/07","-18.5"
"2018/08","0.4"
"2018/09","-0.2"
"2018/10","-21.1"
"2018/11","-20.4"
"2018/12","-15.8"
"2019/01","-14.1"
"2019/02","-8.9"
"2019/03","-7.5"
"2019/04","-3.4"
"2019/05","-10.5"
"2019/06","-6.9"
"2019/07","-2.1"
"2019/08","-13.9"
"2019/09","-5.9"
"2019/10","6.7"
"2019/11","11.3"
"2019/12","14.7"
