date,overseas_travelers
1/1/2010,1118261
2/1/2010,908103
3/1/2010,950185
4/1/2010,935904
5/1/2010,1023815
6/1/2010,997597
7/1/2010,1223723
8/1/2010,1235742
9/1/2010,1013123
10/1/2010,1055581
11/1/2010,1004902
12/1/2010,1021428
1/1/2011,1268007
2/1/2011,1091628
3/1/2011,868694
4/1/2011,867487
5/1/2011,1014409
6/1/2011,1053658
7/1/2011,1241629
8/1/2011,1247222
9/1/2011,1013507
10/1/2011,1032589
11/1/2011,974255
12/1/2011,1020648
1/1/2012,1200782
2/1/2012,1150334
3/1/2012,1018952
4/1/2012,1018645
5/1/2012,1096950
6/1/2012,1109273
7/1/2012,1305418
8/1/2012,1334651
9/1/2012,1059709
10/1/2012,1154742
11/1/2012,1117550
12/1/2012,1169970
1/1/2013,1425900
2/1/2013,1184807
3/1/2013,1113946
4/1/2013,1097420
5/1/2013,1185405
6/1/2013,1221491
7/1/2013,1417422
8/1/2013,1407186
9/1/2013,1195238
10/1/2013,1239143
11/1/2013,1154064
12/1/2013,1204463
1/1/2014,1468903
2/1/2014,1312683
3/1/2014,1150959
4/1/2014,1179885
5/1/2014,1223003
6/1/2014,1270439
7/1/2014,1454795
8/1/2014,1547193
9/1/2014,1321293
10/1/2014,1432100
11/1/2014,1288754
12/1/2014,1430677
1/1/2015,1834538
2/1/2015,1445609
3/1/2015,1416683
4/1/2015,1495460
5/1/2015,1579265
6/1/2015,1373551
7/1/2015,1675332
8/1/2015,1835249
9/1/2015,1511657
10/1/2015,1735308
11/1/2015,1626063
12/1/2015,1781715
1/1/2016,2112337
2/1/2016,1876928
3/1/2016,1569162
4/1/2016,1636597
5/1/2016,1656728
6/1/2016,1778317
7/1/2016,2086068
8/1/2016,2064241
9/1/2016,1904524
10/1/2016,1865552
11/1/2016,1825701
12/1/2016,2007035
1/1/2017,2343048
2/1/2017,2231269
3/1/2017,1940542
4/1/2017,2003943
5/1/2017,2003834
6/1/2017,2098126
7/1/2017,2389447
8/1/2017,2385301
9/1/2017,2236500
10/1/2017,2231748
11/1/2017,2227747
12/1/2017,2404942
1/1/2018,2866780
2/1/2018,2311009
3/1/2018,2252565
4/1/2018,2230200
5/1/2018,2331565
6/1/2018,2323986
7/1/2018,2495297
8/1/2018,2519860
9/1/2018,2225756
10/1/2018,2347876
11/1/2018,2295810
12/1/2018,2495279
1/1/2019,2912331
2/1/2019,2617946
3/1/2019,2334153
4/1/2019,2246417
5/1/2019,2401204
6/1/2019,2495798
7/1/2019,2642585
8/1/2019,2427634
9/1/2019,2049830
10/1/2019,2153847
11/1/2019,2090192
12/1/2019,2342310
