Date,News,curr_living_CSI,department_store,mart,supermarket
2013-01-01,-3.3,6.0,-7.0,-20.5,-7.3
2013-02-01,-4.6,2.3,1.4,9.8,16.6
2013-03-01,-8.8,3.4,7.5,-1.8,2.6
2013-04-01,-10.7,2.3,-1.9,-4.3,2.4
2013-05-01,4.1,1.1,1.1,-1.7,0.2
2013-06-01,-4.9,3.4,3.7,6.1,1.2
2013-07-01,4.8,8.1,-3.7,-1.9,1.0
2013-08-01,3.1,3.4,5.1,0.1,0.7
2013-09-01,9.4,3.5,0.2,-1.1,0.6
2013-10-01,2.7,4.6,-3.7,1.0,3.4
2013-11-01,4.0,5.7,2.1,2.3,6.1
2013-12-01,-1.9,8.2,-2.5,-2.9,0.7
2014-01-01,-5.9,5.7,3.0,22.4,18.6
2014-02-01,4.8,4.5,-5.3,-18.5,-11.9
2014-03-01,8.4,1.1,-5.1,-1.9,5.3
2014-04-01,13.8,3.3,-6.2,-3.4,4.5
2014-05-01,5.3,0.0,-2.6,0.7,4.8
2014-06-01,14.1,1.1,-9.2,-5.5,2.4
2014-07-01,9.8,-2.2,-2.0,-4.9,1.4
2014-08-01,18.4,1.1,2.3,2.8,-1.0
2014-09-01,-1.7,4.5,-9.8,-12.8,-5.5
2014-10-01,1.8,0.0,-7.8,-4.0,1.7
2014-11-01,4.3,-2.2,-11.2,-5.5,-1.4
2014-12-01,3.8,-3.3,-5.8,-6.0,4.2
2015-01-01,12.1,-4.3,-9.8,-24.1,-15.3
2015-02-01,9.3,-4.3,1.9,23.8,9.6
2015-03-01,8.5,-1.1,-9.3,-8.1,-3.8
2015-04-01,10.4,-1.1,-2.6,-0.6,-0.6
2015-05-01,6.4,2.2,0.7,-0.7,0.8
2015-06-01,-1.1,-2.2,-14.1,-11.5,1.4
2015-07-01,-1.5,-2.2,-2.4,-1.5,0.5
2015-08-01,-12.4,-2.2,-6.1,-8.7,2.0
2015-09-01,-1.5,-2.2,3.1,10.0,5.4
2015-10-01,14.1,1.1,10.4,-1.2,0.5
2015-11-01,1.0,2.2,1.7,-4.4,2.0
2015-12-01,1.3,2.2,-4.3,-4.0,-3.8
2016-01-01,-8.1,1.1,5.9,11.2,7.4
2016-02-01,-11.3,1.1,-0.7,-8.4,0.7
2016-03-01,-8.2,1.1,1.0,-5.4,-0.7
