Date,durable_consume_exp_CSI,furniture,home_appliances,import_car_sell,kor_car_sell
2015-01-01,94.0,80.1,48.4,78.6,60.2
2015-02-01,92.0,74.6,45.3,62.5,55.4
2015-03-01,92.0,91.1,51.0,84.2,67.7
2015-04-01,92.0,84.4,49.5,73.7,71.7
2015-05-01,94.0,84.1,56.2,74.2,66.9
2015-06-01,92.0,78.6,55.5,95.3,72.4
2015-07-01,91.0,80.5,67.2,83.5,72.7
2015-08-01,93.0,81.0,62.1,70.1,64.9
2015-09-01,93.0,78.3,50.9,83.3,70.6
2015-10-01,94.0,88.8,62.0,74.0,80.9
2015-11-01,96.0,82.6,67.3,86.0,78.6
2015-12-01,93.0,81.3,59.1,97.2,101.2
2016-01-01,94.0,77.2,53.5,67.6,59.1
2016-02-01,92.0,76.2,51.6,59.8,65.2
2016-03-01,93.0,84.7,56.4,90.3,87.8
2016-04-01,92.0,80.6,55.7,70.3,84.1
2016-05-01,91.0,79.3,62.6,74.0,87.6
2016-06-01,92.0,76.2,66.9,92.8,97.0
2016-07-01,93.0,76.5,80.2,63.1,69.3
2016-08-01,94.0,81.0,76.7,63.7,62.2
2016-09-01,94.0,79.7,57.6,66.5,66.3
2016-10-01,95.0,93.2,65.8,81.4,73.9
2016-11-01,91.0,85.9,69.0,77.0,84.5
2016-12-01,90.0,85.9,64.0,80.4,98.0
2017-01-01,90.0,79.4,56.1,66.8,62.7
2017-02-01,90.0,85.4,55.9,65.5,70.9
2017-03-01,92.0,88.8,62.5,89.7,85.5
2017-04-01,93.0,80.2,67.1,79.0,76.5
2017-05-01,96.0,78.3,81.8,77.9,80.1
2017-06-01,96.0,76.2,79.5,96.5,83.2
2017-07-01,97.0,76.9,94.9,69.3,77.0
2017-08-01,96.0,77.7,75.9,70.0,73.4
2017-09-01,96.0,76.9,66.3,80.6,81.6
2017-10-01,96.0,73.0,72.8,68.9,67.3
2017-11-01,97.0,75.3,82.5,92.6,84.7
2017-12-01,97.0,80.0,73.8,86.4,78.3
2018-01-01,97.0,75.4,70.1,94.9,68.9
2018-02-01,97.0,71.8,66.8,82.4,63.1
2018-03-01,96.0,86.5,78.9,112.0,84.7
2018-04-01,95.0,80.3,83.3,109.0,81.5
2018-05-01,95.0,77.4,90.3,100.9,82.2
2018-06-01,95.0,75.1,88.8,104.6,79.7
2018-07-01,93.0,73.2,104.8,90.6,82.7
2018-08-01,94.0,76.9,91.0,79.4,81.1
2018-09-01,96.0,76.9,70.5,63.2,70.1
2018-10-01,96.0,89.4,80.8,81.9,88.3
2018-11-01,95.0,81.5,89.2,88.9,90.3
2018-12-01,94.0,84.6,79.8,84.7,90.4
2019-01-01,95.0,79.7,76.7,74.9,74.0
2019-02-01,95.0,78.0,69.9,64.5,66.7
