Date,curr_living_CSI,Trading_Volume,Trading_Volume_KOSDAQ
2015-01-01,89.0,325990719.0,10073390977.0
2015-02-01,89.0,347844469.0,8358037728.0
2015-03-01,90.0,386901367.0,11642431084.0
2015-04-01,92.0,526493310.0,14123666733.0
2015-05-01,93.0,410489649.0,9157482398.0
2015-06-01,90.0,417031481.0,11738556601.0
2015-07-01,89.0,581402949.0,15182482308.0
2015-08-01,90.0,418444301.0,9834948130.0
2015-09-01,91.0,502576652.0,13249965199.0
2015-10-01,92.0,627928888.0,16232552488.0
2015-11-01,92.0,428507715.0,15782865780.0
2015-12-01,91.0,452771104.0,14528333813.0
2016-01-01,90.0,365077242.0,12282108706.0
2016-02-01,90.0,343851660.0,9698972666.0
2016-03-01,91.0,352145268.0,13175527417.0
2016-04-01,91.0,398675819.0,13460063365.0
2016-05-01,91.0,482527387.0,14548294549.0
2016-06-01,91.0,467397287.0,20675381004.0
2016-07-01,91.0,384192082.0,19760510470.0
2016-08-01,91.0,354783782.0,14400595340.0
2016-09-01,91.0,465878883.0,13928507471.0
2016-10-01,92.0,331853170.0,11633069899.0
2016-11-01,90.0,300482242.0,13352640078.0
2016-12-01,89.0,287424519.0,13886929621.0
2017-01-01,87.0,421216163.0,14318999510.0
2017-02-01,88.0,356446709.0,18456009885.0
2017-03-01,89.0,403181696.0,18855134883.0
2017-04-01,90.0,386472100.0,15834748218.0
2017-05-01,92.0,369913580.0,13190574662.0
2017-06-01,94.0,356375633.0,13157430772.0
2017-07-01,95.0,296444141.0,11606676814.0
2017-08-01,94.0,260176635.0,12697531035.0
2017-09-01,94.0,278224392.0,13843379027.0
2017-10-01,94.0,315726188.0,9568663511.0
2017-11-01,96.0,339752527.0,16788926477.0
2017-12-01,94.0,302527710.0,20377109108.0
2018-01-01,94.0,375160482.0,25448023937.0
2018-02-01,94.0,404512014.0,16070243896.0
2018-03-01,95.0,384709746.0,17897027088.0
2018-04-01,95.0,497135704.0,23023657217.0
2018-05-01,95.0,641027217.0,21459437193.0
2018-06-01,94.0,497413484.0,15798786726.0
2018-07-01,91.0,341343542.0,13734935950.0
2018-08-01,89.0,282026050.0,13102045200.0
2018-09-01,90.0,319601542.0,10957376690.0
2018-10-01,91.0,334385536.0,11766829954.0
2018-11-01,90.0,317225398.0,12640975404.0
2018-12-01,89.0,401677852.0,11535487944.0
2019-01-01,90.0,429781693.0,15020632129.0
2019-02-01,93.0,404856136.0,13731086471.0
2019-03-01,91.0,322902775.0,15572983777.0
2019-04-01,93.0,440443100.0,18551303122.0
2019-05-01,91.0,535375791.0,17265391521.0
2019-06-01,91.0,592457211.0,16255017184.0
2019-07-01,91.0,517780611.0,18132119963.0
2019-08-01,90.0,498672914.0,16017360132.0
2019-09-01,92.0,453725408.0,15231611983.0
2019-10-01,92.0,423066280.0,18650853995.0
